user_id,food_1,food_2,food_3,food_4,food_5,food_6,food_7,food_8,food_9,food_10,food_11,food_12,food_13,food_14,food_15,food_16,food_17,food_18,food_19,food_20
user_1,0,3,0,5,0,2,2,0,4,3,0,5,0,5,0,4,1,3,0,0
user_2,2,5,3,0,1,0,0,4,5,0,3,0,0,0,2,5,1,5,3,3
user_3,3,0,5,1,5,5,0,3,0,2,0,4,0,0,2,5,3,1,1,0
user_4,5,0,0,4,2,5,0,2,2,3,1,0,0,0,4,3,0,0,4,0
user_5,0,3,4,0,2,5,5,4,1,4,5,0,2,3,0,0,0,2,0,0
user_6,4,4,0,0,0,0,4,5,0,2,4,0,3,0,4,2,0,0,0,3
user_7,3,3,4,4,0,1,5,0,1,2,0,0,1,0,4,3,0,0,0,3
user_8,2,5,0,3,5,1,0,3,5,4,2,5,0,0,1,0,5,5,4,0
user_9,0,0,4,0,0,5,2,3,0,0,1,0,5,1,0,0,0,0,5,1
user_10,0,0,5,1,4,1,4,0,0,1,0,0,1,1,0,2,5,5,5,0
user_11,0,4,2,3,4,0,1,3,2,3,0,1,0,1,1,3,4,0,0,3
user_12,0,3,0,4,5,0,1,5,1,2,0,0,5,0,0,0,0,1,0,5
user_13,0,4,0,2,0,5,2,4,5,3,4,0,4,0,5,0,4,5,0,0
user_14,4,0,3,0,0,1,0,0,0,0,4,1,1,0,4,4,0,4,0,0
user_15,4,0,2,0,0,1,4,0,0,0,2,5,5,0,0,0,1,4,5,0
user_16,2,2,3,0,0,1,1,5,0,0,1,0,1,0,5,2,0,1,0,3
user_17,0,2,1,0,1,5,4,0,2,0,0,5,3,5,0,0,3,0,0,0
user_18,0,2,0,0,5,0,0,5,5,2,1,5,0,5,1,0,1,1,0,0
user_19,4,1,5,0,1,0,0,0,1,1,3,0,4,3,0,1,4,1,2,0
user_20,5,1,1,4,0,4,1,4,4,4,0,0,4,3,0,4,0,5,2,0
